Account_ID,Account_Number,Customer_First_Name,Customer_Last_Name,State,City,Zip_Code,Original_Balance,Outstanding_Balance,Credit_Score,Placement_Date,Charge_Off_Date,Collection_Stage,Days_Past_Due,Last_Payment_Date,Account_Tenure_Months,Account_Status,Bankruptcy_Flag,Fraud_Flag
21,NVT00000021,Linda,Carr,Florida,Orlando,27646,1798.6,1798.6,742,2025-02-10,2025-02-07,Secondary,307,2025-03-23,11,Active,0,0
22,NVT00000022,Helen,Lopez,Ohio,Columbus,33067,614.71,614.71,624,2024-09-02,2024-07-21,Tertiary,392,,18,Active,0,0
23,NVT00000023,Matthew,Wright,Texas,San Antonio,65804,436.79,436.79,644,2025-01-08,2025-01-01,Secondary,233,2025-01-29,13,Active,0,0
24,NVT00000024,Eric,Lynn,North Carolina,Greensboro,54401,9634.74,9634.74,540,2025-02-10,2025-02-05,Secondary,284,,12,Active,1,0
25,NVT00000025,Susan,Sutton,New York,New York,66108,358.72,358.72,601,2026-01-07,2025-12-31,Pre-Writeoff,71,2026-01-18,1,Active,0,0
26,NVT00000026,Matthew,Stevenson,Florida,Miami,58945,2126.1,2126.1,647,2025-11-28,2025-10-31,Primary,156,2026-01-29,3,Active,0,1
27,NVT00000027,Christopher,Bradford,Georgia,Augusta,01678,3714.55,3714.55,559,2025-11-14,2025-10-01,Primary,143,,4,Active,0,0
28,NVT00000028,Colin,Clarke,Georgia,Augusta,44340,10690.95,10690.95,666,2025-08-12,2025-08-02,Primary,122,2025-10-14,6,Active,0,0
29,NVT00000029,Melanie,Greer,Illinois,Naperville,91389,561.43,561.43,597,2024-09-19,2024-08-16,Tertiary,524,2024-11-03,17,Active,0,0
30,NVT00000030,Cassandra,Walker,Florida,Orlando,66695,671.61,671.61,619,2024-07-10,2024-06-28,Tertiary,409,2024-08-21,19,Active,0,0
31,NVT00000031,Lindsay,Shepard,New York,Buffalo,02035,7830.76,7830.76,597,2025-10-29,2025-09-14,Primary,142,,4,Active,0,0
32,NVT00000032,Jessica,Payne,Illinois,Chicago,64631,2390.47,2390.47,769,2025-04-29,2025-04-25,Secondary,324,,9,Active,1,0
33,NVT00000033,Amanda,Valenzuela,Arizona,Mesa,76362,871.08,871.08,639,2026-01-30,2026-01-07,Pre-Writeoff,37,2026-01-31,0,Active,0,0
34,NVT00000034,Teresa,Armstrong,Georgia,Atlanta,09169,4204.63,4204.63,565,2025-08-07,2025-07-14,Primary,108,2026-01-31,6,Active,0,0
35,NVT00000035,Nicholas,Garcia,North Carolina,Raleigh,99918,1275.34,1275.34,697,2026-01-23,2025-12-28,Pre-Writeoff,63,,1,Active,0,0
36,NVT00000036,Andrea,Sullivan,Illinois,Naperville,06382,238.92,238.92,554,2025-05-10,2025-04-22,Secondary,198,2025-09-09,9,Active,0,0
37,NVT00000037,Maria,Green,New York,Rochester,82810,1391.67,1391.67,654,2024-08-11,2024-08-03,Tertiary,381,,18,Active,0,0
38,NVT00000038,Christine,Cohen,Arizona,Phoenix,99307,7326.55,7326.55,502,2026-01-28,2025-12-20,Pre-Writeoff,60,2026-01-31,1,Active,0,0
39,NVT00000039,Michelle,Moon,Ohio,Columbus,53514,10608.06,10608.06,547,2026-01-27,2025-12-20,Pre-Writeoff,43,,1,Active,0,0
40,NVT00000040,Barbara,Lopez,Illinois,Springfield,84541,4594.35,4594.35,653,2025-10-19,2025-09-07,Primary,175,2025-10-28,4,Active,0,0
41,NVT00000041,Janet,Juarez,Arizona,Tucson,48128,421.84,421.84,691,2025-03-31,2025-03-30,Secondary,200,,10,Active,0,0
42,NVT00000042,Brandon,Bowen,Illinois,Springfield,16112,763.65,763.65,651,2025-01-06,2024-11-25,Secondary,181,2025-07-22,14,Active,0,0
43,NVT00000043,Jeremy,Randolph,Florida,Miami,04428,9462.07,9462.07,631,2026-01-12,2025-11-28,Pre-Writeoff,50,2026-01-31,2,Active,0,0
44,NVT00000044,Keith,Thompson,Georgia,Augusta,56510,16448.93,16448.93,618,2025-06-07,2025-05-23,Secondary,222,,8,Active,0,0
45,NVT00000045,Christopher,Landry,Pennsylvania,Pittsburgh,35540,14271.59,14271.59,536,2025-07-24,2025-06-16,Primary,177,2025-08-07,7,Active,0,0
46,NVT00000046,Jesse,Price,North Carolina,Raleigh,05852,1950.47,1950.47,589,2025-08-31,2025-07-20,Primary,100,2026-01-31,6,Active,0,0
47,NVT00000047,Craig,Schmitt,Texas,San Antonio,65507,2148.29,2148.29,607,2025-11-14,2025-10-01,Primary,132,2026-01-23,4,Active,0,0
48,NVT00000048,Joshua,Jackson,Illinois,Naperville,05195,3912.89,3912.89,713,2026-01-07,2025-11-24,Pre-Writeoff,56,2026-01-31,2,Active,0,0
49,NVT00000049,Cynthia,Shah,Pennsylvania,Philadelphia,60147,3707.79,3707.79,664,2024-12-29,2024-11-29,Secondary,227,2025-07-25,14,Active,0,0
50,NVT00000050,Michael,Walker,Arizona,Phoenix,69669,393.46,393.46,516,2024-11-20,2024-11-19,Tertiary,488,,14,Active,0,0
51,NVT00000051,Mitchell,Neal,Ohio,Columbus,27368,4080.12,4080.12,662,2024-07-11,2024-06-01,Tertiary,503,,20,Active,0,0
52,NVT00000052,Jason,Cooper,Georgia,Atlanta,70997,1086.74,1086.74,613,2024-12-25,2024-11-24,Secondary,234,,14,Active,0,0
53,NVT00000053,Joseph,Franklin,Florida,Orlando,89725,6516.2,6516.2,592,2026-01-07,2026-01-04,Pre-Writeoff,34,2026-01-31,0,Active,1,0
54,NVT00000054,Sharon,Parks,Texas,Houston,85106,1251.36,1251.36,682,2025-01-29,2025-01-09,Secondary,213,,12,Active,0,0
55,NVT00000055,Deborah,Garcia,Arizona,Mesa,40004,701.79,701.79,712,2024-10-22,2024-09-12,Tertiary,419,,16,Active,0,0
56,NVT00000056,Chelsea,Dalton,North Carolina,Charlotte,58351,989.78,989.78,705,2024-10-01,2024-09-21,Tertiary,431,2025-04-04,16,Active,0,0
57,NVT00000057,George,Ayers,Illinois,Chicago,70088,7640.0,7640.0,581,2025-06-14,2025-06-02,Secondary,218,2025-08-12,8,Active,0,0
58,NVT00000058,Jessica,Rodriguez,New York,Albany,96282,846.39,846.39,618,2026-01-22,2026-01-15,Pre-Writeoff,69,2026-01-31,0,Active,0,0
59,NVT00000059,Frank,Page,Illinois,Naperville,35746,15224.97,15224.97,663,2025-08-05,2025-08-04,Primary,177,2025-10-14,6,Active,0,0
60,NVT00000060,Noah,Wood,Ohio,Cleveland,67647,3577.77,3577.77,708,2025-11-04,2025-10-13,Primary,171,2026-01-31,3,Active,0,0
61,NVT00000061,Veronica,Johnson,California,San Jose,26227,9632.04,9632.04,606,2025-07-15,2025-06-18,Primary,167,2025-08-18,7,Active,0,0
62,NVT00000062,Danielle,Brewer,North Carolina,Charlotte,01894,6162.85,6162.85,627,2026-01-28,2026-01-23,Pre-Writeoff,40,,0,Active,0,0
63,NVT00000063,Angela,Stone,Ohio,Cleveland,30385,1160.49,1160.49,562,2024-07-05,2024-05-23,Tertiary,459,,20,Active,0,0
64,NVT00000064,Gabrielle,Huber,Illinois,Chicago,33833,1815.0,1815.0,556,2025-01-26,2025-01-15,Secondary,246,2025-10-15,12,Active,0,0
65,NVT00000065,Megan,Herring,Florida,Orlando,68336,719.54,719.54,696,2024-11-01,2024-10-25,Tertiary,483,2025-08-02,15,Active,0,0
66,NVT00000066,Kimberly,Hansen,North Carolina,Raleigh,46542,2387.19,2387.19,734,2024-09-17,2024-08-09,Tertiary,459,,18,Active,0,0
67,NVT00000067,Jeremy,Smith,Illinois,Naperville,61113,3432.83,3432.83,634,2025-09-11,2025-07-30,Primary,173,,6,Active,0,0
68,NVT00000068,Antonio,Flores,New York,Buffalo,28428,481.68,481.68,710,2024-07-30,2024-06-19,Tertiary,516,2024-12-19,19,Active,0,0
69,NVT00000069,Leslie,Freeman,California,San Diego,57236,6112.24,6112.24,665,2026-01-08,2025-12-02,Pre-Writeoff,56,,2,Active,0,0
70,NVT00000070,Joseph,Frazier,Arizona,Mesa,43566,5793.74,5793.74,594,2025-10-10,2025-09-02,Primary,131,2025-12-08,5,Active,0,0
71,NVT00000071,Jason,Summers,Georgia,Augusta,86999,1723.5,1723.5,665,2025-09-05,2025-08-05,Primary,96,,5,Active,0,0
72,NVT00000072,Sherri,Walker,California,Sacramento,37823,1963.77,1963.77,747,2025-03-16,2025-01-30,Secondary,243,2025-10-16,12,Active,0,0
73,NVT00000073,Nancy,Lee,Florida,Miami,90953,1231.45,1231.45,637,2024-11-28,2024-11-05,Tertiary,364,,15,Active,0,0
74,NVT00000074,Leonard,Fuller,North Carolina,Charlotte,89419,608.18,608.18,749,2025-04-30,2025-04-19,Secondary,197,,9,Active,0,0
75,NVT00000075,Diana,Wilson,Arizona,Tucson,01449,5101.36,5101.36,456,2025-06-29,2025-06-05,Primary,157,2025-10-29,8,Active,0,0
76,NVT00000076,Randall,Leonard,Ohio,Cleveland,38650,158.76,158.76,697,2025-02-28,2025-02-11,Secondary,267,,11,Active,0,0
77,NVT00000077,Robin,Hunt,Texas,San Antonio,34883,4903.36,4903.36,646,2025-03-11,2025-02-07,Secondary,185,2025-12-31,11,Active,0,0
78,NVT00000078,Stephen,Ray,Arizona,Tucson,81790,4031.09,4031.09,619,2026-01-28,2025-12-16,Pre-Writeoff,58,2026-01-31,1,Active,0,0
79,NVT00000079,Joseph,House,Arizona,Phoenix,17448,3295.42,3295.42,646,2026-01-23,2026-01-19,Pre-Writeoff,70,2026-01-31,0,Active,0,0
80,NVT00000080,John,Wilson,California,San Diego,63311,3898.73,3898.73,500,2024-12-13,2024-11-14,Tertiary,485,2025-09-05,14,Active,0,0
81,NVT00000081,Anna,Olson,Georgia,Augusta,24710,1678.59,1678.59,624,2025-06-15,2025-05-11,Secondary,229,2026-01-31,8,Active,0,0
82,NVT00000082,Jose,Washington,Arizona,Phoenix,67881,2221.97,2221.97,664,2025-11-07,2025-10-03,Primary,93,2025-11-13,4,Active,0,0
83,NVT00000083,Brenda,Williams,Illinois,Chicago,08071,387.33,387.33,743,2024-10-05,2024-09-21,Tertiary,519,2024-11-23,16,Active,0,0
84,NVT00000084,Rachael,Boyd,California,San Diego,81023,3053.15,3053.15,603,2026-01-29,2026-01-05,Pre-Writeoff,53,,0,Active,0,0
85,NVT00000085,Reginald,Bush,Florida,Orlando,01797,1097.65,1097.65,583,2024-10-23,2024-09-13,Tertiary,448,2025-02-11,16,Active,1,0
86,NVT00000086,Jeffrey,Perkins,New York,Albany,25292,1611.03,1611.03,604,2025-12-17,2025-11-09,Pre-Writeoff,72,2026-01-31,2,Active,0,0
87,NVT00000087,Whitney,Adams,Pennsylvania,Allentown,15926,2770.87,2770.87,704,2025-02-20,2025-02-01,Secondary,337,2025-09-06,12,Active,0,0
88,NVT00000088,William,Johnson,North Carolina,Charlotte,59704,5788.57,5788.57,663,2025-02-25,2025-02-07,Secondary,307,,11,Active,0,0
89,NVT00000089,Christopher,Roberson,Texas,Dallas,73125,4924.76,4924.76,602,2025-12-21,2025-11-21,Pre-Writeoff,58,2026-01-28,2,Active,0,0
90,NVT00000090,Brandon,Clark,Ohio,Cleveland,66829,828.89,828.89,675,2025-03-07,2025-02-26,Secondary,341,2025-08-31,11,Active,0,0
91,NVT00000091,Daniel,Parker,North Carolina,Charlotte,32595,746.53,746.53,646,2025-04-18,2025-03-06,Secondary,210,2025-09-20,11,Active,0,0
92,NVT00000092,Courtney,Nguyen,Arizona,Tucson,87430,1021.31,1021.31,707,2025-04-04,2025-03-11,Secondary,248,2026-01-14,10,Active,0,0
93,NVT00000093,Laura,Chavez,Georgia,Augusta,51613,4300.04,4300.04,590,2026-01-16,2026-01-09,Pre-Writeoff,43,,0,Active,0,0
94,NVT00000094,Robert,Murphy,California,Los Angeles,34098,865.0,865.0,617,2025-10-17,2025-10-08,Primary,170,,3,Active,0,0
95,NVT00000095,Bryan,Murphy,Ohio,Cleveland,32705,3810.78,3810.78,612,2025-01-21,2024-12-07,Secondary,346,2025-07-08,14,Active,0,0
96,NVT00000096,Patrick,Rodriguez,Pennsylvania,Philadelphia,97410,1059.7,1059.7,537,2024-08-30,2024-08-22,Tertiary,538,2025-05-26,17,Active,0,0
97,NVT00000097,Wendy,Daniel,Georgia,Atlanta,11341,7280.31,7280.31,660,2024-12-01,2024-11-22,Tertiary,471,2025-03-23,14,Active,0,0
98,NVT00000098,Allison,Diaz,Illinois,Springfield,56602,9423.25,9423.25,658,2026-01-06,2026-01-04,Pre-Writeoff,66,,0,Active,0,0
99,NVT00000099,Tasha,Mercado,Arizona,Phoenix,65047,9748.04,9748.04,640,2026-01-08,2025-12-03,Pre-Writeoff,77,,1,Active,0,0
100,NVT00000100,Michelle,Roth,Illinois,Springfield,98045,1928.66,1928.66,623,2025-01-27,2024-12-31,Secondary,205,2025-08-25,13,Active,0,0
101,NVT00000101,Alexander,Alvarez,California,San Diego,68561,205.79,205.79,540,2025-01-13,2024-12-03,Secondary,294,,14,Active,0,0
102,NVT00000102,Jennifer,Singleton,New York,Buffalo,43180,3977.65,3977.65,610,2025-03-25,2025-03-01,Secondary,198,2025-10-17,11,Active,0,0
103,NVT00000103,Erin,Warren,Georgia,Atlanta,98295,3690.23,3690.23,616,2025-07-30,2025-06-15,Primary,131,2025-08-20,7,Active,0,0
104,NVT00000104,Amanda,Allen,Ohio,Cleveland,82312,3689.5,3689.5,583,2025-07-20,2025-06-29,Primary,167,,7,Active,0,0
105,NVT00000105,Joseph,Simmons,Arizona,Tucson,66374,11055.78,11055.78,628,2025-11-19,2025-11-18,Primary,175,2026-01-31,2,Active,0,1
106,NVT00000106,Danielle,York,Arizona,Tucson,35494,1856.68,1856.68,668,2025-02-01,2024-12-25,Secondary,202,2025-03-17,13,Active,0,0
107,NVT00000107,Daniel,Williams,Florida,Jacksonville,34722,238.01,238.01,772,2024-09-22,2024-08-16,Tertiary,394,2025-07-17,17,Active,0,0
108,NVT00000108,Ryan,Moyer,California,Los Angeles,35517,654.76,654.76,652,2025-11-09,2025-11-08,Primary,97,,2,Active,0,0
109,NVT00000109,Shawn,Baker,North Carolina,Raleigh,05959,10843.36,10843.36,658,2026-01-28,2025-12-28,Pre-Writeoff,48,2026-01-31,1,Active,0,0
110,NVT00000110,Stephanie,Bradford,New York,Rochester,72698,259.89,259.89,634,2025-04-07,2025-04-04,Secondary,278,2025-07-28,10,Active,0,0
111,NVT00000111,Nancy,Terry,Florida,Jacksonville,74159,1977.73,1977.73,505,2024-12-29,2024-12-22,Secondary,259,2025-04-02,13,Active,0,0
112,NVT00000112,Jose,Schneider,New York,New York,86876,1438.08,1438.08,638,2025-07-24,2025-06-14,Primary,127,,7,Active,0,0
113,NVT00000113,Vincent,Rodriguez,Pennsylvania,Allentown,75544,375.62,375.62,644,2025-01-15,2024-12-26,Secondary,256,2025-09-08,13,Active,0,0
114,NVT00000114,Guy,Clements,Georgia,Augusta,41847,756.82,756.82,812,2026-01-22,2026-01-08,Pre-Writeoff,55,2026-01-31,0,Active,0,0
115,NVT00000115,Rita,Sparks,Arizona,Mesa,97813,814.86,814.86,626,2026-01-14,2026-01-13,Pre-Writeoff,38,2026-01-31,0,Active,0,0
116,NVT00000116,Monica,Johnson,Georgia,Savannah,77522,6991.14,6991.14,661,2026-01-26,2026-01-02,Pre-Writeoff,60,2026-01-31,0,Active,0,0
117,NVT00000117,Kenneth,Gomez,Pennsylvania,Philadelphia,28761,2678.37,2678.37,637,2025-10-14,2025-09-03,Primary,123,,5,Active,0,0
118,NVT00000118,Danielle,Bryant,Florida,Jacksonville,03640,137.5,137.5,558,2025-02-13,2025-01-09,Secondary,198,,12,Active,0,0
119,NVT00000119,Chelsea,Gilbert,Ohio,Cleveland,26702,1508.1,1508.1,719,2025-06-18,2025-05-29,Secondary,235,,8,Active,0,0
120,NVT00000120,Eric,Gould,Illinois,Chicago,24905,726.88,726.88,692,2025-04-13,2025-03-15,Secondary,353,2025-05-26,10,Active,0,0
121,NVT00000121,Kathryn,Martinez,Illinois,Naperville,82501,124.94,124.94,695,2024-11-19,2024-11-13,Tertiary,516,2025-08-01,14,Active,0,0
122,NVT00000122,Amber,Vargas,California,Los Angeles,04914,102.47,102.47,576,2026-01-08,2025-12-13,Pre-Writeoff,61,2026-01-31,1,Active,0,0
123,NVT00000123,Kimberly,Kennedy,New York,Albany,60947,156.19,156.19,738,2024-12-12,2024-11-28,Tertiary,438,,14,Active,0,0
124,NVT00000124,Alyssa,Brown,California,San Diego,82595,5846.37,5846.37,541,2026-01-22,2026-01-04,Pre-Writeoff,56,,0,Active,0,0
125,NVT00000125,Aaron,Oconnor,Georgia,Savannah,49226,4571.92,4571.92,681,2026-01-12,2025-12-26,Pre-Writeoff,55,,1,Active,0,0
126,NVT00000126,Mario,Anderson,Texas,Dallas,57610,9719.56,9719.56,793,2025-05-26,2025-05-18,Secondary,338,2025-11-03,8,Active,0,0
127,NVT00000127,Andrew,Woods,Illinois,Springfield,01166,138.32,138.32,570,2026-01-05,2025-12-15,Pre-Writeoff,66,,1,Active,0,0
128,NVT00000128,Sarah,Nelson,Illinois,Naperville,93987,1182.84,1182.84,600,2024-08-07,2024-07-31,Tertiary,420,2025-02-23,18,Active,0,0
129,NVT00000129,Natasha,Anderson,Arizona,Tucson,45364,5383.28,5383.28,646,2024-11-02,2024-10-18,Tertiary,438,2025-06-24,15,Active,0,0
130,NVT00000130,Marie,Kirk,Florida,Orlando,20753,15460.55,15460.55,604,2026-01-21,2025-12-27,Pre-Writeoff,75,2026-01-31,1,Active,0,0
131,NVT00000131,Kyle,Rose,North Carolina,Greensboro,55987,251.52,251.52,531,2025-12-13,2025-12-06,Primary,145,2026-01-31,1,Active,0,0
132,NVT00000132,Brian,Gates,New York,New York,81675,634.3,634.3,644,2025-07-22,2025-06-07,Primary,128,2026-01-31,7,Active,0,0
133,NVT00000133,Natalie,Bailey,Illinois,Springfield,82420,1007.79,1007.79,565,2025-02-06,2025-01-27,Secondary,333,,12,Active,0,0
134,NVT00000134,Stacey,Martin,New York,Buffalo,07590,1694.8,1694.8,673,2025-11-24,2025-11-04,Primary,97,2026-01-31,2,Active,0,0
135,NVT00000135,Christopher,Taylor,Texas,Austin,16779,2351.5,2351.5,575,2025-04-03,2025-03-31,Secondary,272,2025-07-30,10,Active,0,0
136,NVT00000136,Todd,Rivera,Georgia,Savannah,97915,2599.17,2599.17,748,2024-10-17,2024-10-04,Tertiary,537,2025-05-30,16,Active,0,0
137,NVT00000137,Chad,Lamb,Arizona,Mesa,47897,12816.12,12816.12,585,2025-11-28,2025-10-31,Primary,149,,3,Active,1,0
138,NVT00000138,Kathleen,Pacheco,Texas,Austin,21335,540.78,540.78,617,2024-10-04,2024-10-02,Tertiary,441,2025-05-11,16,Active,0,0
139,NVT00000139,Katie,Patterson,Ohio,Cleveland,27596,4442.4,4442.4,696,2025-04-18,2025-04-10,Secondary,222,,9,Active,0,0
140,NVT00000140,David,Brown,Pennsylvania,Philadelphia,85563,2253.92,2253.92,553,2025-10-31,2025-10-19,Primary,90,2026-01-31,3,Active,0,0
141,NVT00000141,Thomas,Nguyen,Florida,Tampa,05450,2115.53,2115.53,655,2025-01-23,2024-12-23,Secondary,297,2025-09-28,13,Active,0,0
142,NVT00000142,Andrea,Mejia,Texas,Houston,17583,1851.13,1851.13,731,2025-11-30,2025-10-19,Primary,112,2026-01-31,3,Active,0,0
143,NVT00000143,Joseph,Hunter,Illinois,Naperville,80068,567.56,567.56,527,2024-07-21,2024-06-17,Tertiary,440,2025-03-24,19,Active,0,0
144,NVT00000144,Monique,Sparks,Pennsylvania,Pittsburgh,78897,7950.37,7950.37,652,2024-09-26,2024-09-14,Tertiary,503,,16,Active,0,0
145,NVT00000145,Rodney,Cole,North Carolina,Greensboro,86798,815.56,815.56,658,2025-04-30,2025-03-31,Secondary,347,2026-01-25,10,Active,1,0
146,NVT00000146,Jason,Ramos,Ohio,Cincinnati,82086,278.43,278.43,694,2024-08-22,2024-08-21,Tertiary,467,2025-06-10,17,Active,0,0
147,NVT00000147,Amber,Evans,Georgia,Atlanta,53218,949.12,949.12,553,2025-12-26,2025-11-17,Pre-Writeoff,42,2026-01-23,2,Active,0,0
148,NVT00000148,Jessica,Jackson,Texas,Dallas,50452,2301.45,2301.45,547,2025-02-02,2025-01-26,Secondary,208,,12,Active,0,0
149,NVT00000149,James,Vasquez,California,San Jose,26169,663.38,663.38,676,2025-12-16,2025-11-14,Primary,174,2026-01-31,2,Active,0,0
150,NVT00000150,Larry,Morgan,California,San Jose,29198,4466.73,4466.73,660,2025-02-03,2025-01-06,Secondary,198,2025-10-14,13,Active,0,0
151,NVT00000151,Wanda,Rogers,Illinois,Chicago,03296,1474.22,1474.22,657,2025-01-24,2025-01-21,Secondary,242,,12,Active,0,0
152,NVT00000152,Debra,Yang,Ohio,Cleveland,79196,162.82,162.82,664,2026-01-05,2025-12-25,Pre-Writeoff,47,2026-01-31,1,Active,0,0
153,NVT00000153,Samuel,Caldwell,Arizona,Tucson,22145,2108.23,2108.23,592,2026-01-26,2025-12-13,Pre-Writeoff,42,,1,Active,0,0
154,NVT00000154,Zachary,Weaver,Texas,Dallas,32729,5418.14,5418.14,656,2025-06-08,2025-05-22,Secondary,237,2025-07-26,8,Active,0,0
155,NVT00000155,David,Morgan,California,San Jose,47453,4911.02,4911.02,660,2025-11-19,2025-11-18,Primary,171,2026-01-31,2,Active,0,0
156,NVT00000156,Jeffrey,Chapman,North Carolina,Charlotte,52870,230.24,230.24,589,2025-01-18,2025-01-09,Secondary,324,,12,Active,0,0
157,NVT00000157,Matthew,Oconnell,California,Los Angeles,46720,8182.57,8182.57,770,2025-08-16,2025-07-02,Primary,101,,7,Active,0,0
158,NVT00000158,Brianna,Hogan,North Carolina,Raleigh,35200,378.13,378.13,673,2025-08-11,2025-07-16,Primary,114,2025-12-19,6,Active,0,0
159,NVT00000159,Jerry,Stewart,New York,New York,00922,8088.44,8088.44,556,2025-01-01,2024-12-16,Secondary,220,,13,Active,0,0
160,NVT00000160,Jeffrey,Marquez,Illinois,Chicago,32590,10019.74,10019.74,685,2026-01-12,2025-11-28,Pre-Writeoff,30,2026-01-31,2,Active,0,0
161,NVT00000161,Chad,Austin,Pennsylvania,Philadelphia,04348,12943.99,12943.99,571,2026-01-13,2025-12-23,Pre-Writeoff,71,2026-01-31,1,Active,0,0
162,NVT00000162,Crystal,Thompson,Georgia,Atlanta,58194,16508.48,16508.48,695,2026-01-22,2025-12-25,Pre-Writeoff,36,,1,Active,0,0
163,NVT00000163,Jeremy,Anderson,Texas,Austin,78782,607.63,607.63,721,2025-12-04,2025-10-29,Primary,145,2026-01-31,3,Active,0,0
164,NVT00000164,Rebecca,Rubio,New York,Rochester,84736,5897.19,5897.19,582,2024-10-21,2024-09-16,Tertiary,366,,16,Active,0,0
165,NVT00000165,Michele,Lozano,Ohio,Cincinnati,78248,285.18,285.18,707,2024-12-03,2024-11-03,Tertiary,482,2025-03-31,15,Active,0,1
166,NVT00000166,Chad,Ponce,Arizona,Phoenix,15880,1754.78,1754.78,668,2026-01-13,2025-12-06,Pre-Writeoff,54,2026-01-31,1,Active,0,0
167,NVT00000167,John,Burnett,Texas,Houston,46798,562.47,562.47,697,2024-10-19,2024-09-25,Tertiary,398,,16,Active,0,0
168,NVT00000168,Elizabeth,Patterson,Ohio,Cincinnati,36569,2985.74,2985.74,772,2025-04-16,2025-03-25,Secondary,279,2025-11-08,10,Active,0,0
169,NVT00000169,Jason,Cook,Texas,San Antonio,08381,106.65,106.65,622,2024-07-09,2024-06-28,Tertiary,447,2024-10-25,19,Active,0,0
170,NVT00000170,David,Taylor,Texas,Houston,24094,182.54,182.54,587,2024-07-27,2024-06-20,Tertiary,368,2024-09-19,19,Active,0,0
171,NVT00000171,Selena,Rosales,Pennsylvania,Allentown,89973,5651.29,5651.29,577,2025-06-30,2025-05-23,Primary,144,2025-10-14,8,Active,0,0
172,NVT00000172,Ashley,Khan,Arizona,Mesa,61175,2167.22,2167.22,582,2025-09-18,2025-09-11,Primary,129,2026-01-31,4,Active,0,0
173,NVT00000173,Thomas,Williams,North Carolina,Raleigh,27826,3563.28,3563.28,634,2026-01-09,2026-01-06,Pre-Writeoff,84,,0,Active,0,0
